URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/mimic-observation-type-vital,ValueSet/mimic-observation-type-ed"
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-admission-class,1.3.0,draft,,MimicAdmissionClass,MimicAdmissionClass,"The admission class for MIMIC","ValueSet/mimic-admission-class"
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-admission-type,1.3.0,draft,,MimicAdmissionType,MimicAdmissionType,"The admission type for MIMIC","ValueSet/mimic-admission-type"
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-admit-source,1.3.0,draft,,MimicAdmitSource,MimicAdmitSource,"The admission source for MIMIC","ValueSet/mimic-admit-source"
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-bodysite,1.3.0,draft,,MimicBodysite,MimicBodysite,"The bodysite codes for MIMIC","ValueSet/mimic-bodysite"
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items,1.3.0,draft,,MimicCharteventsDItems,MimicCharteventsDItems,"The chartevents item codes used in the ICU for MIMIC","ValueSet/mimic-chartevents-d-items"
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-items,1.3.0,draft,,MimicDItems,MimicDItems,"The item codes used throughout the ICU in MIMIC","ValueSet/mimic-procedureevents-d-items,ValueSet/mimic-datetimeevents-d-items,ValueSet/mimic-outputevents-d-items"
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-d-labitems,1.3.0,draft,,MimicDLabitems,MimicDLabitems,"The lab item codes used in MIMIC","ValueSet/mimic-d-labitems"
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,1.3.0,draft,,MimicDiagnosisIcd10,MimicDiagnosisIcd10,"The diagnosis ICD10 codes used for MIMIC","ValueSet/mimic-diagnosis-icd"
http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd9,1.3.0,draft,,MimicDiagnosisIcd9,MimicDiagnosisIcd9,"The diagnosis ICD9 codes for MIMIC","ValueSet/mimic-diagnosis-icd"
