Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-kindlab.fhir.vbai.json	47961	-	0	0	0	0	0	0	8	428	0	0	0	0	0	0	0	2	0	0	304	359	0	0	0	0	15	0	2
fsh-generated/resources/StructureDefinition-vbai-questionnaire-response.json	1418	6	0	0	0	0	0	135	0	132	0	0	0	0	0	0	0	3	0	0	162	4740	0	0	1	0	4	0	0
fsh-generated/resources/ValueSet-yesnosome.json	1185	5	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	11	38548	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eligible-studies.json	462	2	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	4	187	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tumor-rln.json	561	3	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	6	162	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-degree.json	389	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	166	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-transportation-type.json	2576	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	15	238	0	0	0	1	0	0	0
fsh-generated/resources/CodeSystem-dsm5-q1.json	904	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7	146	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-enroll.json	413	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	165	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-vbai-body-height.json	2253	6	0	0	0	0	0	396	0	238	0	0	1	0	0	0	0	1	0	0	432	2292	0	0	0	0	12	0	3
