Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-kindlab.fhir.vbai.json	20554	-	0	0	0	0	0	0	5	46	0	0	0	0	0	0	0	1	0	0	171	189	0	0	0	1	6	0	1
fsh-generated/resources/Questionnaire-MoodAcousticTasksQuestionnaire.json	4774	6	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	1	0	0	90	35	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-PedsAcousticTasksQuestionnaire.json	4106	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	84	18	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-RespiratoryAcousticTasksQuestionnaire.json	686	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	34	11	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-VoiceAcousticTasksQuestionnaire.json	1555	4	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	51	17	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-acoustictaskschema.json	1672	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	61	18	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-bridge2aieconsentaddendumbchenglishschema.json	4112	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	73	19	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-bridge2aieconsentaddendummitenglishschema.json	4258	6	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	78	20	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-bridge2aieconsentaddendummitresearcherstatemeschema.json	1205	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	34	13	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-bridge2aieconsentaddendumwcmenglishschema.json	4186	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	75	17	0	0	0	0	1	0	0
